id,persons,children,femaleAdult,stayType,season
600851,2,0,1,2,1
600861,4,2,1,3,1
600891,2,0,1,5,1
600911,5,1,1,5,1
600931,3,0,1,6,1
600961,2,0,1,5,1
600971,4,1,1,6,1
600991,3,2,1,5,1
601051,11,4,1,5,1
601071,4,2,1,2,1
601081,9,3,1,5,1
601091,3,2,1,5,1
601111,2,0,1,2,1
601151,5,1,1,5,1
601181,4,2,1,5,1
601201,2,0,1,4,1
601211,1,0,0,2,1
601231,1,0,1,5,1
601261,3,1,1,5,1
601281,2,0,1,5,1
601311,2,0,1,5,1
601331,3,0,1,2,1
601341,2,0,1,2,1
601351,4,2,1,2,1
601381,3,0,1,2,1
601391,3,0,0,2,1
601401,3,0,0,2,1
601431,3,0,1,2,1
601441,4,0,1,5,1
601451,2,0,1,6,1
601461,4,0,1,2,1
601501,3,1,1,5,1
601521,2,0,1,3,1
601541,5,3,0,5,1
601551,2,0,1,5,1
601561,5,3,1,6,1
601571,2,0,1,5,1
601581,1,0,0,5,1
601611,2,0,1,5,1
601641,6,0,1,3,1
601681,3,1,1,2,1
601701,3,1,1,5,1
601721,1,0,0,5,1
601771,3,1,1,2,1
601801,4,0,1,6,1
601821,2,0,1,5,1
601841,4,2,1,5,1
601851,3,1,1,2,1
601871,3,0,1,6,1
601901,5,3,1,5,1
601941,2,0,1,3,1
601951,2,0,1,3,1
601971,3,0,1,3,1
601981,4,0,1,3,1
601991,2,0,1,3,1
602031,4,0,1,2,1
602041,5,2,1,6,1
2000111,3,0,1,5,1
2000121,2,0,1,5,1
2000131,2,1,0,2,1
2000141,5,3,1,2,1
2000161,5,1,1,2,1
2000171,4,1,1,2,1
2000181,4,2,1,2,1
2000191,5,2,1,2,1
2000201,5,0,1,2,1
2000211,2,0,0,2,1
2000311,2,0,1,2,1
2000321,3,1,1,5,1
2000341,4,0,1,2,1
2000351,5,3,1,6,1
2000361,3,1,1,2,1
2000371,6,3,1,2,1
2000381,2,0,1,2,1
2000431,2,0,1,5,1
2000461,2,0,1,3,1
2000701,3,1,1,2,1
2000711,1,0,0,2,1
2000731,2,0,1,6,1
2000751,4,1,1,4,1
2000771,2,0,1,3,1
2000791,2,0,1,3,1
2000821,5,3,1,2,1
2000841,2,0,1,3,1
2000861,2,0,1,5,1
2000911,2,0,1,3,1
2000921,1,0,1,3,1
2000951,2,0,1,5,1
2000981,2,0,1,3,1
2001011,1,0,1,3,1
2001131,2,0,1,2,1
2001151,2,0,1,3,1
2001161,4,0,1,3,1
2001191,2,0,1,5,1
2001231,4,2,1,2,1
2001251,3,1,1,5,1
2001261,2,0,1,5,1
2001271,4,2,1,2,1
2001301,4,2,1,5,1
2001341,4,0,1,5,1
2001361,5,2,1,5,1
2001371,4,2,1,2,1
2001381,2,0,1,2,1
2001391,3,2,1,2,1
2001431,4,2,1,5,1
2001451,5,3,1,2,1
2001461,5,2,1,5,1
2001471,4,2,1,3,1
2001491,4,2,1,6,1
2001511,4,2,1,2,1
2001581,2,0,1,2,1
2001661,4,2,1,5,1
2001671,1,0,1,5,1
2001681,4,0,1,5,1
2001721,4,0,1,5,1
2001731,2,0,1,6,1
2001741,2,0,1,6,1
2001751,4,2,1,2,1
2001791,2,0,1,6,1
2001801,6,3,1,6,1
2001811,2,0,1,6,1
2001841,5,3,1,6,1
2001881,4,0,1,5,1
2001891,5,3,1,5,1
2001931,3,1,1,2,1
2001941,2,0,1,5,1
2001951,4,2,1,2,1
2001961,3,1,1,2,1
2001981,5,0,1,2,1
2002021,4,2,1,2,1
2002071,3,1,1,2,1
2002111,3,1,1,6,1
2002121,4,2,1,6,1
2002131,5,3,1,5,1
2002151,3,0,0,3,1
2002161,4,0,1,3,1
2002171,1,0,0,3,1
2002181,2,0,1,2,1
2002191,2,0,1,3,1
2002201,2,0,1,2,1
2002221,4,0,1,5,1
2002231,4,0,1,3,1
2002251,4,0,1,5,1
2002261,2,0,1,3,1
2002271,2,0,1,5,1
3000111,4,0,1,5,1
3000121,6,2,1,6,1
3000131,5,3,1,5,1
3000141,4,2,1,5,1
3000181,1,0,0,6,1
3000201,4,2,1,2,1
3000211,2,0,1,2,1
3000221,4,2,1,2,1
3000231,6,2,1,2,1
3000261,5,3,1,5,1
3000271,5,3,1,5,1
3000321,2,0,1,5,1
3000331,2,0,1,5,1
3000341,3,2,1,5,1
3000351,7,3,1,2,1
3000391,2,0,1,2,1
3000411,4,2,1,5,1
3000431,5,1,1,6,1
3000511,3,0,1,5,1
3000531,2,0,1,5,1
3000631,2,0,1,5,1
3000651,1,0,0,5,1
3000671,2,0,1,5,1
3000691,5,3,1,6,1
3000761,4,2,1,2,1
3000771,6,2,1,2,1
3000791,1,0,1,3,1
3000801,3,0,1,3,1
3000811,2,0,1,3,1
3000821,4,0,1,3,1
3000841,2,0,1,3,1
3000861,3,1,1,3,1
3000871,2,0,1,3,1
3000901,5,0,1,5,1
3000931,5,2,1,3,1
3000951,4,3,0,5,1
3000971,3,1,1,2,1
3000981,5,3,1,5,1
3000991,2,0,1,5,1
3001011,2,0,1,5,1
3001021,4,2,1,2,1
3001051,5,0,1,5,1
3001061,6,2,1,6,1
3001131,2,0,1,3,1
3001171,2,0,1,2,1
3001291,2,0,1,2,1
3001301,2,0,1,2,1
3001311,2,0,1,2,1
3001391,4,2,1,5,1
3001421,4,2,1,4,1
3001431,7,5,1,5,1
3001441,4,0,1,5,1
3001451,4,3,1,5,1
3001471,2,0,1,4,1
3001481,2,0,1,4,1
3001551,2,0,1,3,1
3001561,4,0,1,2,1
3001571,7,1,1,3,1
3001641,2,0,1,3,1
3001651,4,2,1,6,1
3001661,4,2,1,6,1
3001681,4,2,1,5,1
3001701,3,0,1,3,1
3001711,2,0,1,6,1
10202,1,0,0,2,2
10212,11,3,1,3,2
10272,3,0,0,5,2
10282,4,2,1,2,2
10302,2,0,1,2,2
10312,2,0,1,2,2
10322,2,0,1,2,2
10332,4,2,1,2,2
10342,4,2,1,2,2
10352,3,0,1,2,2
10392,4,0,1,3,2
10432,2,0,1,3,2
10462,4,2,1,5,2
10472,2,0,1,3,2
10502,6,0,1,3,2
10512,2,0,1,3,2
10582,2,0,1,2,2
10592,3,2,0,2,2
10622,2,0,1,2,2
10632,2,0,1,3,2
10662,4,0,1,5,2
10672,2,0,1,3,2
10692,2,0,1,2,2
10702,2,0,1,3,2
10722,4,2,1,3,2
10792,4,0,1,2,2
10812,2,0,1,5,2
10822,2,0,1,3,2
10832,4,0,1,3,2
10842,1,0,1,3,2
10872,5,2,1,5,2
10962,3,0,0,3,2
10982,2,1,0,2,2
10992,4,2,0,2,2
11002,2,1,0,2,2
11102,4,0,1,2,2
11122,2,0,1,5,2
11152,2,0,1,5,2
11182,3,2,1,3,2
11222,1,0,0,3,2
11252,2,0,0,3,2
11282,4,0,1,3,2
11292,2,0,1,3,2
11302,2,0,0,5,2
11312,2,0,1,3,2
11332,2,0,0,3,2
11342,2,0,0,3,2
11352,4,0,1,3,2
11362,2,0,0,3,2
11372,1,0,0,3,2
11382,2,0,1,3,2
11392,2,0,1,3,2
11402,2,0,1,3,2
11412,4,0,1,3,2
11422,1,0,0,3,2
11432,5,3,1,3,2
11442,2,0,0,3,2
11452,4,2,1,3,2
11462,2,0,1,3,2
11492,2,0,1,3,2
11512,4,2,1,5,2
11522,5,2,1,5,2
11552,5,3,1,2,2
11572,4,2,1,2,2
11612,11,3,1,5,2
11632,2,0,1,2,2
11742,3,0,1,5,2
11772,4,1,1,5,2
11822,4,2,1,5,2
11842,3,0,0,5,2
11872,12,6,1,5,2
20092,4,2,1,2,2
20102,2,0,0,5,2
20142,5,3,1,5,2
20302,3,0,1,2,2
20332,2,0,0,5,2
20342,2,0,1,5,2
20472,4,2,1,3,2
20482,2,0,1,3,2
20492,2,0,1,3,2
20502,2,0,1,3,2
20542,2,0,1,2,2
20572,1,0,1,5,2
20592,1,0,1,5,2
20602,2,0,1,4,2
20622,2,0,1,5,2
20642,4,0,1,2,2
20672,2,0,1,3,2
20682,1,0,1,5,2
20702,2,0,1,3,2
20712,2,0,1,3,2
20722,5,2,1,4,2
20732,3,1,1,4,2
20742,2,0,1,5,2
20752,4,1,1,5,2
20762,4,1,1,4,2
20772,4,2,1,5,2
20782,4,1,1,5,2
20792,2,0,1,5,2
20812,4,0,1,5,2
20822,4,3,0,5,2
20892,4,2,1,5,2
20902,7,5,1,5,2
20912,2,1,0,5,2
20922,5,3,1,5,2
20952,8,4,1,3,2
20992,2,0,1,3,2
21002,4,2,1,3,2
21012,2,0,1,3,2
21042,2,0,1,3,2
21062,2,1,0,2,2
21092,1,0,1,3,2
21152,2,0,1,5,2
21182,2,1,0,5,2
21212,2,0,1,2,2
21222,5,3,1,5,2
21232,4,2,1,5,2
21252,6,3,1,5,2
21262,2,1,1,5,2
21472,5,2,1,5,2
21482,4,1,1,5,2
21622,2,2,0,2,2
21652,1,0,0,5,2
21672,1,0,0,5,2
21692,3,1,1,5,2
21732,1,0,0,2,2
21772,2,0,1,2,2
21782,2,0,0,2,2
30112,2,0,1,2,2
30122,2,0,1,2,2
30132,3,1,1,2,2
30162,2,0,1,2,2
30172,4,0,1,2,2
30182,2,0,1,2,2
30192,1,0,1,2,2
30202,2,0,1,2,2
30212,2,0,1,5,2
30222,2,0,1,3,2
30232,2,1,1,2,2
30242,5,1,1,5,2
30362,3,0,1,3,2
30372,1,0,0,2,2
30502,1,0,0,2,2
30582,4,2,1,3,2
30592,3,0,1,3,2
30602,2,0,1,3,2
30632,2,0,1,2,2
30642,2,0,1,3,2
30662,4,2,1,5,2
30672,2,0,1,2,2
30702,2,0,1,3,2
30722,5,1,1,3,2
30732,3,0,0,5,2
30742,2,0,1,3,2
30752,7,3,1,5,2
30762,2,0,1,2,2
30822,5,0,0,3,2
30832,8,4,1,5,2
30942,2,0,0,3,2
30952,6,4,1,3,2
31082,2,0,1,2,2
31112,4,0,1,5,2
31122,8,4,1,5,2
31162,3,2,0,3,2
31232,2,0,1,5,2
31242,1,0,0,5,2
40162,2,0,1,3,2
40182,4,0,1,2,2
40202,2,0,0,3,2
40372,2,0,1,2,2
40412,2,0,1,3,2
40422,4,2,1,3,2
40432,2,0,1,2,2
40442,2,0,1,3,2
40452,3,1,1,5,2
40472,4,3,0,2,2
40482,4,2,1,3,2
40522,2,0,1,5,2
40572,2,0,1,4,2
40592,3,0,1,2,2
40662,3,2,0,4,2
40682,5,0,1,2,2
40712,4,1,1,5,2
40722,2,0,1,5,2
40752,4,2,1,3,2
40762,4,2,1,3,2
40792,2,0,0,3,2
40802,6,0,1,3,2
40822,2,0,1,3,2
40852,2,0,1,3,2
40862,6,4,0,3,2
40872,2,0,1,3,2
40892,1,0,1,3,2
40912,1,0,1,3,2
40922,2,0,1,3,2
40932,4,2,1,3,2
40942,2,0,1,3,2
40952,4,2,1,3,2
40962,8,4,1,2,2
40972,2,0,1,3,2
40982,2,0,1,3,2
41012,2,0,1,2,2
41062,2,0,1,3,2
41092,2,0,1,3,2
41102,4,2,1,3,2
41122,12,8,1,5,2
41132,4,2,1,4,2
41142,4,2,1,2,2
41152,4,2,1,2,2
41162,4,2,1,5,2
41182,4,2,1,2,2
41202,6,4,1,5,2
41212,4,2,1,3,2
41222,6,2,1,5,2
41232,7,3,1,5,2
41252,4,2,1,5,2
41282,4,2,1,5,2
41302,4,2,1,5,2
41312,2,0,1,5,2
41322,1,0,0,5,2
41332,4,2,1,5,2
41342,5,1,1,5,2
41352,4,2,1,5,2
41362,3,1,1,5,2
41382,6,4,1,5,2
41392,2,0,1,2,2
41422,7,4,1,5,2
41432,4,2,1,5,2
41442,4,2,1,3,2
41452,2,0,1,5,2
41482,8,4,1,5,2
41492,2,0,0,2,2
41552,3,1,1,5,2
41582,5,1,1,2,2
41602,2,0,1,5,2
41642,3,0,1,5,2
60242,4,0,0,5,2
60262,2,0,1,2,2
60272,2,0,1,2,2
60282,1,0,0,5,2
60292,2,0,1,2,2
60302,4,2,1,2,2
60312,4,2,1,2,2
60362,3,0,1,2,2
60372,3,0,1,2,2
60382,3,0,1,2,2
60402,5,0,1,5,2
60452,2,0,1,5,2
60482,2,0,1,2,2
60512,2,0,1,3,2
60562,1,0,1,2,2
60622,1,1,0,3,2
60672,4,2,1,4,2
60682,4,1,1,4,2
60692,6,2,1,4,2
60712,2,0,1,4,2
60732,4,2,1,5,2
60762,3,0,0,5,2
60782,3,1,1,2,2
60792,3,0,1,3,2
60802,2,0,1,2,2
60822,4,2,1,2,2
60852,3,0,1,3,2
60862,2,0,1,3,2
60872,2,1,0,5,2
60882,2,1,1,3,2
60902,2,0,0,3,2
60912,4,2,1,3,2
60942,2,0,1,3,2
60952,3,1,1,3,2
60962,2,0,1,3,2
60972,3,0,0,3,2
60982,3,0,1,3,2
61002,2,0,1,3,2
61012,7,0,1,3,2
61022,2,0,1,3,2
61032,4,0,1,3,2
61062,3,0,1,5,2
61072,2,0,1,3,2
61082,2,0,1,3,2
61102,5,3,1,3,2
61132,2,0,1,3,2
61182,5,3,1,2,2
61202,4,2,1,5,2
61212,4,2,1,5,2
61372,6,2,1,5,2
61382,5,3,1,2,2
61392,4,2,1,5,2
61402,6,4,1,5,2
61422,2,0,1,3,2
61432,2,1,0,2,2
61442,3,0,1,5,2
61452,4,2,1,5,2
61462,4,2,1,5,2
61482,4,2,1,5,2
61492,4,2,1,5,2
61522,7,3,1,5,2
61552,3,1,1,5,2
61562,5,2,1,5,2
61582,2,0,1,5,2
61622,4,2,1,2,2
61642,3,2,0,2,2
61652,2,0,1,3,2
61662,2,0,0,2,2
61672,4,2,1,2,2
61682,2,0,1,2,2
61692,6,0,0,5,2
61702,2,0,1,2,2
61722,3,0,0,2,2
61742,1,0,0,3,2
500162,3,1,1,3,2
500182,9,0,1,2,2
500192,9,0,1,2,2
500202,1,0,0,2,2
500242,4,0,1,2,2
500252,3,1,1,3,2
500262,2,0,1,3,2
500272,3,2,1,2,2
500282,3,1,1,2,2
500312,3,0,0,2,2
500382,3,0,1,3,2
500392,2,0,0,3,2
500402,7,3,1,3,2
500412,2,0,1,3,2
500422,2,0,1,3,2
500432,10,1,1,3,2
500442,5,3,1,3,2
500452,2,0,0,2,2
500522,2,0,1,2,2
500532,2,0,1,5,2
500552,3,0,1,2,2
500572,4,0,1,3,2
500592,2,0,1,2,2
500602,5,1,1,3,2
500632,2,0,1,2,2
500642,2,0,0,3,2
500652,2,0,1,3,2
500682,2,0,1,3,2
500692,4,2,1,2,2
500702,4,2,1,2,2
500722,2,0,1,5,2
500782,2,0,1,2,2
500792,5,3,1,3,2
500802,3,1,1,3,2
500832,5,0,1,3,2
500852,5,0,1,3,2
500862,3,0,1,3,2
500882,2,0,1,4,2
500912,4,2,1,2,2
500942,4,0,1,4,2
500992,2,0,1,3,2
501002,2,0,1,3,2
501062,2,0,1,3,2
501082,2,0,1,3,2
501212,4,2,1,2,2
501222,6,4,1,5,2
501242,5,0,1,5,2
501252,2,0,1,5,2
501262,2,0,0,5,2
501302,2,0,1,2,2
501312,2,0,1,5,2
501332,3,0,1,2,2
501442,2,0,1,3,2
501532,2,0,1,5,2
501542,6,4,1,5,2
501552,4,2,1,5,2
501572,5,3,1,5,2
501582,12,7,1,5,2
501592,5,0,0,5,2
501602,7,3,1,5,2
501632,4,2,1,5,2
501662,6,2,1,3,2
501682,1,0,0,5,2
501692,4,2,1,2,2
501712,4,2,1,2,2
501732,4,2,1,5,2
501882,7,2,1,5,2
501962,2,0,0,2,2
501972,2,0,1,2,2
20003761,2,0,1,1,3
20003762,2,0,1,1,3
20005601,2,0,1,1,3
20005602,2,0,1,1,3
20007441,1,0,1,1,3
20009601,2,0,1,1,3
20009602,2,0,1,1,3
20018271,2,0,1,1,3
20018272,2,0,1,1,3
20024581,4,2,1,1,3
20024582,4,2,1,1,3
20024583,4,2,1,1,3
20024584,4,2,1,1,3
20029391,2,0,1,1,3
20029392,2,0,1,1,3
20032151,2,0,1,1,3
20032152,2,0,1,1,3
20035531,2,0,1,1,3
20035532,2,0,1,1,3
20042851,2,0,1,1,3
20042852,2,0,1,1,3
20043021,2,0,1,1,3
20043022,2,0,1,1,3
20045871,1,0,1,1,3
20049361,1,0,1,1,3
20067021,2,0,1,1,3
20067022,2,0,1,1,3
20068721,1,0,1,1,3
20070751,2,0,1,1,3
20070752,2,0,1,1,3
20081601,2,0,1,1,3
20081602,2,0,1,1,3
20082361,3,0,1,1,3
20082362,3,0,1,1,3
20082363,3,0,1,1,3
20082601,2,0,1,1,3
20082602,2,0,1,1,3
20084471,3,2,1,1,3
20084472,3,2,1,1,3
20084473,3,2,1,1,3
20085441,2,0,1,1,3
20085442,2,0,1,1,3
20085541,2,0,1,1,3
20085542,2,0,1,1,3
20086431,1,0,1,1,3
20088751,1,0,1,1,3
20089611,2,0,1,1,3
20089612,2,0,1,1,3
20090281,1,0,1,1,3
20095921,2,0,1,1,3
20095922,2,0,1,1,3
20096011,5,1,1,1,3
20096012,5,1,1,1,3
20096013,5,1,1,1,3
20096014,5,1,1,1,3
20096015,5,1,1,1,3
20096601,2,0,1,1,3
20096602,2,0,1,1,3
20098361,1,0,0,1,3
20098761,3,1,1,1,3
20098762,3,1,1,1,3
20098763,3,1,1,1,3
20100161,2,0,1,1,3
20100162,2,0,1,1,3
20101481,2,0,1,1,3
20101482,2,0,1,1,3
20102141,1,0,0,1,3
20102461,2,0,1,1,3
20102462,2,0,1,1,3
20104451,1,0,1,1,3
20106211,2,0,1,1,3
20106212,2,0,1,1,3
20109171,2,0,1,1,3
20109172,2,0,1,1,3
20109941,5,2,1,1,3
20109942,5,2,1,1,3
20109943,5,2,1,1,3
20109944,5,2,1,1,3
20109945,5,2,1,1,3
20111191,1,0,1,1,3
20112231,2,0,1,1,3
20112232,2,0,1,1,3
20112311,2,0,1,1,3
20112312,2,0,1,1,3
20113801,2,0,1,1,3
20113802,2,0,1,1,3
20113901,4,0,1,1,3
20113902,4,0,1,1,3
20113903,4,0,1,1,3
20113904,4,0,1,1,3
20116051,3,0,1,1,3
20116052,3,0,1,1,3
20116053,3,0,1,1,3
20118951,1,0,1,1,3
20120711,1,0,0,1,3
20121431,2,0,1,1,3
20121432,2,0,1,1,3
20122051,3,0,1,1,3
20122052,3,0,1,1,3
20122053,3,0,1,1,3
20123021,1,0,0,1,3
20126711,3,0,1,1,3
20126712,3,0,1,1,3
20126713,3,0,1,1,3
20132141,1,0,1,1,3
20134051,2,0,1,1,3
20134052,2,0,1,1,3
20135381,4,1,1,1,3
20135382,4,1,1,1,3
20135383,4,1,1,1,3
20135384,4,1,1,1,3
20139741,2,0,1,1,3
20139742,2,0,1,1,3
20139761,2,0,1,1,3
20139762,2,0,1,1,3
20141831,2,0,1,1,3
20141832,2,0,1,1,3
20142161,3,1,1,1,3
20142162,3,1,1,1,3
20142163,3,1,1,1,3
20142801,1,0,0,1,3
20145921,2,0,1,1,3
20145922,2,0,1,1,3
20146971,2,0,1,1,3
20146972,2,0,1,1,3
20147281,2,0,0,1,3
20147282,2,0,0,1,3
20147981,2,0,1,1,3
20147982,2,0,1,1,3
20148451,2,0,1,1,3
20148452,2,0,1,1,3
20148801,2,0,1,1,3
20148802,2,0,1,1,3
20150501,2,0,1,1,3
20150502,2,0,1,1,3
20151791,1,0,0,1,3
20152561,2,0,1,1,3
20152562,2,0,1,1,3
20154741,2,0,1,1,3
20154742,2,0,1,1,3
20155991,3,0,1,1,3
20155992,3,0,1,1,3
20155993,3,0,1,1,3
20159151,2,0,1,1,3
20159152,2,0,1,1,3
20159541,1,0,1,1,3
20163511,2,0,1,1,3
20163512,2,0,1,1,3
20164501,4,0,1,1,3
20164502,4,0,1,1,3
20164503,4,0,1,1,3
20164504,4,0,1,1,3
20164911,2,0,1,1,3
20164912,2,0,1,1,3
20164921,2,0,1,1,3
20164922,2,0,1,1,3
20165431,1,0,0,1,3
20168831,2,0,1,1,3
20168832,2,0,1,1,3
20171301,2,0,1,1,3
20171302,2,0,1,1,3
20174011,2,0,1,1,3
20174012,2,0,1,1,3
20174781,2,0,1,1,3
20174782,2,0,1,1,3
20174841,2,0,1,1,3
20174842,2,0,1,1,3
20177581,1,0,1,1,3
20183531,1,0,0,1,3
20186581,2,0,1,1,3
20186582,2,0,1,1,3
20191191,2,0,1,1,3
20191192,2,0,1,1,3
20204791,1,0,0,1,3
20204801,2,0,1,1,3
20204802,2,0,1,1,3
20204811,4,2,1,1,3
20204812,4,2,1,1,3
20204813,4,2,1,1,3
20204814,4,2,1,1,3
20204821,1,0,1,1,3
20204831,1,0,1,1,3
20204841,3,1,1,1,3
20204842,3,1,1,1,3
20204843,3,1,1,1,3
20204851,1,0,0,1,3
20204861,1,0,1,1,3
20204871,2,0,1,1,3
20204872,2,0,1,1,3
20204881,1,0,0,1,3
20204891,1,0,0,1,3
20204901,2,0,1,1,3
20204902,2,0,1,1,3
20204911,1,0,1,1,3
20204921,1,0,0,1,3
